,Gender,Age_Group,Race_or_Ethnicity,Education,Observed_Rate,Ideal_Rate,LogDisparity,user_n,pValue,BH_p
82,NA,59+,NA,<HSG,0.314210406,0.088367401,1.5532259,9656,0,0
83,NA,59+,NA,HSG/GED,0.226871888,0.122717738,0.740882602,6972,0,0
84,NA,59+,NA,Some college/TS,0.224333735,0.161467166,0.406764399,6894,4.32E-197,4.98E-197
85,NA,59+,NA,>=College grad,0.043669259,0.127662826,-1.164676014,1342,0,0
86,Male,18-39,Hispanic,NA,0,0.016523985,#NAME?,0,#NAME?,#NAME?
87,Male,40-59,Hispanic,NA,0.01867674,0.022843658,-0.205649936,623,3.51E-07,3.68E-07
88,Male,59+,Hispanic,NA,0.064963876,0.018497649,1.304686984,2167,0,0
89,Male,18-39,NH Asian,NA,0,0.005394702,#NAME?,0,#NAME?,#NAME?
90,Male,40-59,NH Asian,NA,0.001498936,0.006853142,-1.525328588,50,2.07E-32,2.42E-32
91,Male,59+,NH Asian,NA,0.004736637,0.009302498,-0.679553704,158,3.74E-18,4.13E-18
92,Male,18-39,NH Black,NA,0,0.011854537,#NAME?,0,#NAME?,#NAME?
93,Male,40-59,NH Black,NA,0.030218545,0.025762593,0.164116515,1008,2.79E-07,3.01E-07
94,Male,59+,NH Black,NA,0.11571784,0.021402686,1.788982434,3860,0,0
95,Male,18-39,NH White,NA,0,0.044195101,#NAME?,0,#NAME?,#NAME?
96,Male,40-59,NH White,NA,0.04385886,0.127204722,-1.156025533,1463,0,0
97,Male,59+,NH White,NA,0.24567557,0.148510613,0.624519908,8195,0,0
98,Male,18-39,Other,NA,0,0.002918724,#NAME?,0,#NAME?,#NAME?
99,Male,40-59,Other,NA,0.000959319,0.006649052,-1.941717564,32,1.95E-37,2.48E-37
100,Male,59+,Other,NA,0.004886531,0.010617839,-0.781829059,163,1.74E-24,1.97E-24
101,Female,18-39,Hispanic,NA,0,0.010308391,#NAME?,0,#NAME?,#NAME?
102,Female,40-59,Hispanic,NA,0.023833079,0.02615212,-0.095234276,795,0.007954083,0.007954083
103,Female,59+,Hispanic,NA,0.082651318,0.026625823,1.192030176,2757,0,0
104,Female,18-39,NH Asian,NA,0,0.00171318,#NAME?,0,#NAME?,#NAME?
105,Female,40-59,NH Asian,NA,0.000869383,0.007187303,-2.118631278,29,1.76E-42,2.31E-42
106,Female,59+,NH Asian,NA,0.003897233,0.011280838,-1.070278842,130,2.44E-37,3.02E-37
107,Female,18-39,NH Black,NA,0,0.014911328,#NAME?,0,#NAME?,#NAME?
108,Female,40-59,NH Black,NA,0.039841712,0.036479349,0.091663873,1329,0.001054567,0.001080288
109,Female,59+,NH Black,NA,0.132236112,0.031481932,1.545022742,4411,0,0
110,Female,18-39,NH White,NA,0,0.027105874,#NAME?,0,#NAME?,#NAME?
111,Female,40-59,NH White,NA,0.029888779,0.091229914,-1.181218321,997,0,0
112,Female,59+,NH White,NA,0.151392511,0.210333019,-0.400801649,5050,9.50E-154,1.81E-153
113,Female,18-39,Other,NA,0,0.005900732,#NAME?,0,#NAME?,#NAME?
114,Female,40-59,Other,NA,0.001079234,0.009318635,-2.164047351,36,2.75E-55,3.85E-55
115,Female,59+,Other,NA,0.003117786,0.011440061,-1.308381379,104,2.42E-46,3.28E-46
116,Male,18-39,NA,<HSG,0,0.012637473,#NAME?,0,#NAME?,#NAME?
117,Male,18-39,NA,HSG/GED,0,0.017724058,#NAME?,0,#NAME?,#NAME?
118,Male,18-39,NA,Some college/TS,0,0.030347482,#NAME?,0,#NAME?,#NAME?
119,Male,18-39,NA,>=College grad,0,0.019508196,#NAME?,0,#NAME?,#NAME?
120,Male,40-59,NA,<HSG,0.024437864,0.028036598,-0.141072699,751,0.000132564,0.00013684
121,Male,40-59,NA,HSG/GED,0.029286388,0.050613577,-0.569312595,900,3.18E-65,3.63E-65
122,Male,40-59,NA,Some college/TS,0.034525398,0.061947179,-0.613400387,1061,1.77E-88,2.36E-88
123,Male,40-59,NA,>=College grad,0.00833035,0.049164987,-1.817325671,256,2.26E-240,3.81E-240
124,Male,59+,NA,<HSG,0.15459959,0.03331681,1.668836846,4751,0,0
125,Male,59+,NA,HSG/GED,0.122384563,0.047843501,1.020753862,3761,0,0
126,Male,59+,NA,Some college/TS,0.13198399,0.058074294,0.902673756,4056,0,0
127,Male,59+,NA,>=College grad,0.033419023,0.069273357,-0.766734544,1027,2.85E-135,3.96E-135
128,Female,18-39,NA,<HSG,0,0.010186453,#NAME?,0,#NAME?,#NAME?
129,Female,18-39,NA,HSG/GED,0,0.012612979,#NAME?,0,#NAME?,#NAME?
130,Female,18-39,NA,Some college/TS,0,0.02187286,#NAME?,0,#NAME?,#NAME?
131,Female,18-39,NA,>=College grad,0,0.014361492,#NAME?,0,#NAME?,#NAME?
132,Female,40-59,NA,<HSG,0.031076112,0.026955998,0.146476822,955,8.21E-06,8.76E-06
133,Female,40-59,NA,HSG/GED,0.031108653,0.034061783,-0.093742642,956,0.004316475,0.004316475
134,Female,40-59,NA,Some college/TS,0.028928444,0.070060214,-0.927810079,889,1.47E-175,2.13E-175
135,Female,40-59,NA,>=College grad,0.003221503,0.039693534,-2.548616467,99,3.25E-235,4.96E-235
136,Female,59+,NA,<HSG,0.159610816,0.055050603,1.181751921,4905,0,0
137,Female,59+,NA,HSG/GED,0.104487326,0.074874222,0.365789434,3211,1.33E-86,1.70E-86
138,Female,59+,NA,Some college/TS,0.092349745,0.10339287,-0.1251944,2838,2.04E-10,2.25E-10
139,Female,59+,NA,>=College grad,0.010250236,0.05838948,-1.789695438,315,1.19E-283,2.11E-283
140,Female,NA,Hispanic,<HSG,0.064364973,0.030391782,0.786063959,1978,9.86E-264,4.66E-263
141,Female,NA,Hispanic,>=College grad,0.001561941,0.007283885,-1.545482627,48,4.09E-32,6.86E-32
142,Female,NA,Hispanic,HSG/GED,0.017832156,0.011307062,0.462197519,548,2.81E-27,4.18E-27
143,Female,NA,Hispanic,Some college/TS,0.014968598,0.013953545,0.071250896,460,0.129266188,0.134436835
144,Female,NA,NH Asian,<HSG,0.001659562,0.00522078,-1.149666582,51,4.61E-18,5.99E-18
145,Female,NA,NH Asian,>=College grad,0.000260323,0.007208911,-3.328122907,8,5.28E-47,1.06E-46
146,Female,NA,NH Asian,HSG/GED,0.00074843,0.002946683,-1.372660317,23,1.16E-12,1.41E-12
147,Female,NA,NH Asian,Some college/TS,0.001269077,0.004852829,-1.344866857,39,1.56E-19,2.14E-19
148,Female,NA,NH Black,<HSG,0.07845498,0.018130367,1.52834359,2411,0,0
149,Female,NA,NH Black,>=College grad,0.004360418,0.016864775,-1.365297916,134,5.48E-65,1.19E-64
150,Female,NA,NH Black,HSG/GED,0.043278774,0.016198064,1.010683112,1330,0,0
151,Female,NA,NH Black,Some college/TS,0.042009697,0.031169568,0.309710184,1291,7.81E-28,1.23E-27
152,Female,NA,NH White,<HSG,0.045166119,0.037737041,0.187455481,1388,8.24E-12,9.74E-12
153,Female,NA,NH White,>=College grad,0.007093814,0.075360947,-2.434298786,218,0,0
154,Female,NA,NH White,HSG/GED,0.072662784,0.087377066,-0.200397982,2233,6.57E-20,9.24E-20
155,Female,NA,NH White,Some college/TS,0.062054603,0.12897355,-0.805612048,1907,2.23E-268,1.16E-267
156,Female,NA,Other,<HSG,0.001041294,0.000713071,0.378966087,32,0.031123978,0.033029528
157,Female,NA,Other,>=College grad,0.000195243,0.005725989,-3.384074974,6,8.63E-38,1.66E-37
158,Female,NA,Other,HSG/GED,0.001073834,0.003720112,-1.245170715,33,2.54E-14,3.14E-14
159,Female,NA,Other,Some college/TS,0.000976213,0.016376454,-2.835454454,30,2.10E-100,7.28E-100
160,Male,NA,Hispanic,<HSG,0.040154892,0.024989232,0.489975856,1234,4.75E-65,1.07E-64
161,Male,NA,Hispanic,>=College grad,0.00299372,0.006743763,-0.815869829,92,9.56E-16,1.21E-15
162,Male,NA,Hispanic,HSG/GED,0.019459178,0.012048522,0.486906126,598,1.09E-32,2.02E-32
163,Male,NA,Hispanic,Some college/TS,0.017506752,0.014078815,0.22139844,538,3.39E-07,3.75E-07
164,Male,NA,NH Asian,<HSG,0.000943673,0.005585958,-1.782889496,29,9.34E-28,1.43E-27
165,Male,NA,NH Asian,>=College grad,0.000976213,0.009719628,-2.307012371,30,5.07E-55,1.06E-54
166,Male,NA,NH Asian,HSG/GED,0.001269077,0.003186632,-0.922596639,39,2.46E-09,2.78E-09
167,Male,NA,NH Asian,Some college/TS,0.002863558,0.002847929,0.005488662,88,0.958995225,0.958995225
168,Male,NA,NH Black,<HSG,0.068920634,0.011268782,1.870997339,2118,0,0
169,Male,NA,NH Black,>=College grad,0.005792197,0.009501163,-0.498640132,178,2.05E-11,2.37E-11
170,Male,NA,NH Black,HSG/GED,0.035631772,0.018285095,0.684979211,1095,4.83E-114,1.79E-113
171,Male,NA,NH Black,Some college/TS,0.03618496,0.019710697,0.62443041,1112,7.11E-96,2.31E-95
172,Male,NA,NH White,<HSG,0.067553936,0.029728848,0.860572715,2076,0,0
173,Male,NA,NH White,>=College grad,0.031466597,0.106580876,-1.300704677,967,0,0
174,Male,NA,NH White,HSG/GED,0.094172009,0.078078245,0.205022442,2894,7.32E-26,1.06E-25
175,Male,NA,NH White,Some college/TS,0.108294556,0.106281482,0.021018829,3328,0.252194526,0.257139516
176,Male,NA,Other,<HSG,0.001464319,0.00241805,-0.502526262,45,0.000663736,0.000719047
177,Male,NA,Other,>=College grad,0.000520647,0.005401111,-2.344182811,16,1.75E-31,2.84E-31
178,Male,NA,Other,HSG/GED,0.001138915,0.004582656,-1.395656202,35,3.95E-19,5.27E-19
179,Male,NA,Other,Some college/TS,0.001659562,0.007450034,-1.507481917,51,3.70E-32,6.41E-32
180,NA,18-39,Hispanic,<HSG,0,0.009590094,#NAME?,0,#NAME?,#NAME?
181,NA,18-39,Hispanic,HSG/GED,0,0.007573085,#NAME?,0,#NAME?,#NAME?
182,NA,18-39,Hispanic,Some college/TS,0,0.006850084,#NAME?,0,#NAME?,#NAME?
183,NA,18-39,Hispanic,>=College grad,0,0.00272835,#NAME?,0,#NAME?,#NAME?
184,NA,18-39,NH Asian,<HSG,0,0.000786672,#NAME?,0,#NAME?,#NAME?
185,NA,18-39,NH Asian,HSG/GED,0,0.000559043,#NAME?,0,#NAME?,#NAME?
186,NA,18-39,NH Asian,Some college/TS,0,0.001220394,#NAME?,0,#NAME?,#NAME?
187,NA,18-39,NH Asian,>=College grad,0,0.004297298,#NAME?,0,#NAME?,#NAME?
188,NA,18-39,NH Black,<HSG,0,0.004776402,#NAME?,0,#NAME?,#NAME?
189,NA,18-39,NH Black,HSG/GED,0,0.004499786,#NAME?,0,#NAME?,#NAME?
190,NA,18-39,NH Black,Some college/TS,0,0.012235059,#NAME?,0,#NAME?,#NAME?
191,NA,18-39,NH Black,>=College grad,0,0.004392871,#NAME?,0,#NAME?,#NAME?
192,NA,18-39,NH White,<HSG,0,0.006855075,#NAME?,0,#NAME?,#NAME?
193,NA,18-39,NH White,HSG/GED,0,0.016780664,#NAME?,0,#NAME?,#NAME?
194,NA,18-39,NH White,Some college/TS,0,0.027412114,#NAME?,0,#NAME?,#NAME?
195,NA,18-39,NH White,>=College grad,0,0.020422289,#NAME?,0,#NAME?,#NAME?
196,NA,18-39,Other,<HSG,0,0.000815669,#NAME?,0,#NAME?,#NAME?
197,NA,18-39,Other,HSG/GED,0,0.000924446,#NAME?,0,#NAME?,#NAME?
198,NA,18-39,Other,Some college/TS,0,0.004502677,#NAME?,0,#NAME?,#NAME?
199,NA,18-39,Other,>=College grad,0,0.002028893,#NAME?,0,#NAME?,#NAME?
200,NA,40-59,Hispanic,<HSG,0.020077446,0.020660587,-0.029226037,617,0.472350048,0.478484464
201,NA,40-59,Hispanic,HSG/GED,0.010250236,0.007820494,0.2730049,315,1.33E-06,1.46E-06
202,NA,40-59,Hispanic,Some college/TS,0.009762129,0.014019804,-0.366269286,300,2.18E-10,2.61E-10
203,NA,40-59,Hispanic,>=College grad,0.001334158,0.006611139,-1.605753859,41,3.52E-30,4.90E-30
204,NA,40-59,NH Asian,<HSG,0.000390485,0.002520581,-1.866987849,12,9.54E-14,1.20E-13
205,NA,40-59,NH Asian,HSG/GED,0.000325404,0.002363516,-1.984877935,10,1.87E-13,2.31E-13
206,NA,40-59,NH Asian,Some college/TS,0.001073834,0.002745582,-0.940432392,33,2.14E-08,2.49E-08
207,NA,40-59,NH Asian,>=College grad,0.000357945,0.006444078,-2.896645192,11,1.47E-40,2.17E-40
208,NA,40-59,NH Black,<HSG,0.023071166,0.008560159,1.00620932,709,7.79E-168,1.45E-167
209,NA,40-59,NH Black,HSG/GED,0.022452898,0.018265117,0.21070144,690,4.20E-08,4.75E-08
