,Gender,Age_Group,Race_or_Ethnicity,Education,Observed_Rate,Ideal_Rate,LogDisparity,user_n,pValue,BH_p
181,NA,45-64,NH Black,HSG/GED,0.037778212,0.018664676,0.724769028,387,2.38E-46,6.00E-46
182,NA,45-64,NH Black,Some college/TS,0.04461148,0.024151476,0.634835009,457,1.82E-41,4.40E-41
183,NA,45-64,NH Black,>=College grad,0.022940258,0.014151487,0.492028522,235,5.03E-14,7.73E-14
184,NA,45-64,Other,<HSG,0.011714174,0.008725713,0.297544654,120,0.001144922,0.001311456
185,NA,45-64,Other,HSG/GED,0.018449824,0.005281183,1.264231769,189,1.61E-75,5.95E-75
186,NA,45-64,Other,Some college/TS,0.018840297,0.016156193,0.156426482,193,0.03117962,0.0327386
187,NA,45-64,Other,>=College grad,0.030847325,0.01698872,0.610698911,316,1.91E-27,3.75E-27
188,NA,64+,Hispanic,<HSG,0.010737993,0.028349862,-0.988797376,110,6.59E-27,1.26E-26
189,NA,64+,Hispanic,HSG/GED,0.004880906,0.010349196,-0.757088276,50,4.53E-08,6.34E-08
190,NA,64+,Hispanic,Some college/TS,0.004002343,0.005763115,-0.366367616,41,0.01855694,0.020156676
191,NA,64+,Hispanic,>=College grad,0.002245217,0.004676504,-0.736188459,23,0.000309935,0.000375498
192,NA,64+,NH White,<HSG,0.029968762,0.039603167,-0.288735228,307,5.73E-07,7.85E-07
193,NA,64+,NH White,HSG/GED,0.063451777,0.071621131,-0.129871067,650,0.001343324,0.00151124
194,NA,64+,NH White,Some college/TS,0.074092152,0.092193772,-0.238326734,759,2.41E-10,3.61E-10
195,NA,64+,NH White,>=College grad,0.05759469,0.068575623,-0.186227197,590,1.09E-05,1.41E-05
196,NA,64+,NH Black,<HSG,0.016790316,0.015972728,0.05075073,172,0.509222363,0.517435627
197,NA,64+,NH Black,HSG/GED,0.02020695,0.007522636,1.000972877,207,6.19E-50,1.69E-49
198,NA,64+,NH Black,Some college/TS,0.015716517,0.013218791,0.175607215,161,0.026865386,0.028686768
199,NA,64+,NH Black,>=College grad,0.008883249,0.00611132,0.376817343,91,0.000318442,0.000378525
200,NA,64+,Other,<HSG,0.005661851,0.012286287,-0.78141739,58,1.16E-09,1.69E-09
201,NA,64+,Other,HSG/GED,0.008883249,0.006869991,0.259033776,91,0.013628524,0.015063106
202,NA,64+,Other,Some college/TS,0.007614213,0.013117388,-0.549482876,78,9.81E-07,1.31E-06
203,NA,64+,Other,>=College grad,0.010835611,0.01003081,0.077989932,111,0.41368945,0.427253038
204,Male,18-44,Hispanic,<HSG,0.000195236,0.005051448,-3.258088914,2,8.20E-20,1.57E-19
205,Male,18-44,Hispanic,HSG/GED,0.000390472,0.010177137,-3.270380291,4,3.74E-39,9.97E-39
206,Male,18-44,Hispanic,Some college/TS,0.000292854,0.005693228,-2.972773923,3,3.28E-21,6.55E-21
207,Male,18-44,Hispanic,>=College grad,9.76E-05,0,-8888888,1,-8888888,-36702505.29
208,Male,18-44,NH White,<HSG,0,0.003907894,#NAME?,0,#NAME?,#NAME?
209,Male,18-44,NH White,HSG/GED,0,0.010420974,#NAME?,0,#NAME?,#NAME?
210,Male,18-44,NH White,Some college/TS,0,0.011711084,#NAME?,0,#NAME?,#NAME?
211,Male,18-44,NH White,>=College grad,0,0.005024402,#NAME?,0,#NAME?,#NAME?
212,Male,18-44,NH Black,<HSG,0,0,-9999999,0,-9999999,-45714281.14
213,Male,18-44,NH Black,HSG/GED,0.000195236,0.001585149,-2.095614379,2,2.87E-05,4.04E-05
214,Male,18-44,NH Black,Some college/TS,9.76E-05,0.006725594,-4.239263068,1,1.71E-28,3.78E-28
215,Male,18-44,NH Black,>=College grad,9.76E-05,0.000615813,-1.842398902,1,0.026137171,0.030414163
216,Male,18-44,Other,<HSG,0,0.001231665,#NAME?,0,#NAME?,#NAME?
217,Male,18-44,Other,HSG/GED,0.000488091,0.000882149,-0.592254614,5,0.179131515,0.194312152
218,Male,18-44,Other,Some college/TS,9.76E-05,0.001438207,-2.691431212,1,1.12E-05,1.59E-05
219,Male,18-44,Other,>=College grad,0.000585709,0,-8888888,6,-8888888,-37925922.13
220,Male,45-64,Hispanic,<HSG,0.006833268,0.024049308,-1.275789624,70,5.65E-30,1.27E-29
221,Male,45-64,Hispanic,HSG/GED,0.007028504,0.007138987,-0.015708188,72,0.894335323,0.894335323
222,Male,45-64,Hispanic,Some college/TS,0.007614213,0.016395641,-0.775887008,78,2.58E-12,4.29E-12
223,Male,45-64,Hispanic,>=College grad,0.003221398,0.002295815,0.33965563,33,0.050299839,0.05748553
224,Male,45-64,NH White,<HSG,0.021183132,0.01227504,0.554696983,217,2.65E-16,4.65E-16
225,Male,45-64,NH White,HSG/GED,0.057789926,0.022267171,0.990709215,592,3.85E-131,1.41E-130
226,Male,45-64,NH White,Some college/TS,0.091761031,0.044127845,0.783213359,940,7.51E-122,2.67E-121
227,Male,45-64,NH White,>=College grad,0.087563452,0.058615097,0.43260495,897,1.05E-35,2.74E-35
228,Male,45-64,NH Black,<HSG,0.008004686,0.007725943,0.035724091,82,0.747289672,0.759151413
229,Male,45-64,NH Black,HSG/GED,0.018059352,0.013744492,0.277410056,185,0.000176159,0.000234879
230,Male,45-64,NH Black,Some college/TS,0.022159313,0.011058593,0.706338399,227,6.35E-27,1.38E-26
231,Male,45-64,NH Black,>=College grad,0.012104647,0.005759263,0.749182426,124,2.12E-17,3.87E-17
232,Male,45-64,Other,<HSG,0.005368996,0.007598227,-0.34951768,55,0.009368569,0.011207261
233,Male,45-64,Other,HSG/GED,0.01034752,0.00257159,1.400048986,106,1.87E-54,5.55E-54
234,Male,45-64,Other,Some college/TS,0.011226084,0.011516985,-0.025877232,115,0.78258795,0.78875006
235,Male,45-64,Other,>=College grad,0.020792659,0.009624855,0.781591599,213,5.37E-31,1.25E-30
236,Male,64+,Hispanic,<HSG,0.004392815,0.014328829,-1.192333196,45,2.63E-17,4.74E-17
237,Male,64+,Hispanic,HSG/GED,0.002635689,0.004374146,-0.508311165,27,0.00766983,0.009261681
238,Male,64+,Hispanic,Some college/TS,0.002928544,0.003886396,-0.283938172,30,0.119200932,0.13267582
239,Male,64+,Hispanic,>=College grad,0.001366654,0.002028593,-0.395640244,14,0.136485876,0.150605104
240,Male,64+,NH White,<HSG,0.022061695,0.019851923,0.107799035,226,0.108851908,0.122219686
241,Male,64+,NH White,HSG/GED,0.038852011,0.036931685,0.052685949,398,0.302737826,0.320251584
242,Male,64+,NH White,Some college/TS,0.050956658,0.050041832,0.019079595,522,0.671075522,0.687181335
243,Male,64+,NH White,>=College grad,0.04304959,0.059628623,-0.343259691,441,1.38E-12,2.32E-12
244,Male,64+,NH Black,<HSG,0.009468957,0.004285226,0.79806516,97,9.59E-16,1.66E-15
245,Male,64+,NH Black,HSG/GED,0.010445139,0.005543628,0.638428437,107,2.36E-11,3.83E-11
246,Male,64+,NH Black,Some college/TS,0.009176103,0.006308001,0.377674235,94,0.000245845,0.000321104
247,Male,64+,NH Black,>=College grad,0.005368996,0.003253824,0.502934529,55,0.000170482,0.000229702
248,Male,64+,Other,<HSG,0.002538071,0.00466903,-0.611685739,26,0.001557089,0.00197334
249,Male,64+,Other,HSG/GED,0.004392815,0.006869992,-0.449683882,45,0.002402462,0.002956877
250,Male,64+,Other,Some college/TS,0.005076142,0.00448048,0.125419875,52,0.366680586,0.384714058
251,Male,64+,Other,>=College grad,0.008199922,0.007128199,0.141145977,84,0.19726629,0.212185589
252,Female,18-44,Hispanic,<HSG,0,0.0117567,#NAME?,0,#NAME?,#NAME?
253,Female,18-44,Hispanic,HSG/GED,0,0.001812765,#NAME?,0,#NAME?,#NAME?
254,Female,18-44,Hispanic,Some college/TS,0,0.008366568,#NAME?,0,#NAME?,#NAME?
255,Female,18-44,Hispanic,>=College grad,0,0,-9999999,0,-9999999,-47407402.67
256,Female,18-44,NH White,<HSG,0,0.007793327,#NAME?,0,#NAME?,#NAME?
257,Female,18-44,NH White,HSG/GED,0,0.003024897,#NAME?,0,#NAME?,#NAME?
258,Female,18-44,NH White,Some college/TS,0,0.015194489,#NAME?,0,#NAME?,#NAME?
259,Female,18-44,NH White,>=College grad,0,0.006172502,#NAME?,0,#NAME?,#NAME?
260,Female,18-44,NH Black,<HSG,0,0.001223844,#NAME?,0,#NAME?,#NAME?
261,Female,18-44,NH Black,HSG/GED,0,0.003672456,#NAME?,0,#NAME?,#NAME?
262,Female,18-44,NH Black,Some college/TS,0,0.01014046,#NAME?,0,#NAME?,#NAME?
263,Female,18-44,NH Black,>=College grad,0,0.006041164,#NAME?,0,#NAME?,#NAME?
264,Female,18-44,Other,<HSG,0,0,-9999999,0,-9999999,-49230764.31
265,Female,18-44,Other,HSG/GED,0,0.00153333,#NAME?,0,#NAME?,#NAME?
266,Female,18-44,Other,Some college/TS,0,0.002613739,#NAME?,0,#NAME?,#NAME?
267,Female,18-44,Other,>=College grad,0,0.002618362,#NAME?,0,#NAME?,#NAME?
268,Female,45-64,Hispanic,<HSG,0.011226084,0.019760999,-0.574139598,115,5.41E-10,8.44E-10
269,Female,45-64,Hispanic,HSG/GED,0.005661851,0.009684456,-0.540824983,58,3.22E-05,4.48E-05
